koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag,depth_period_ratio,planet_star_radius_ratio,duration_period_ratio,log_koi_period,log_koi_depth,log_koi_prad,log_koi_insol,composite_confidence_score,extreme_temperature,koi_pdisposition_CANDIDATE,koi_pdisposition_FALSE POSITIVE,planet_size_category_Terrestre,planet_size_category_SuperTierra,planet_size_category_Neptuniano,planet_size_category_Joviano,habitable_zone_No,habitable_zone_Yes,orbital_period_category_Muy_Corto,orbital_period_category_Corto,orbital_period_category_Medio,orbital_period_category_Largo
1.2224182591628665,-0.042105336735891216,-0.5482033765277045,-0.4954620703887223,-0.36810344797623357,-0.4688725477361902,-0.45616733088865125,0.011276511419052492,-0.7099740231079702,-0.29017566624860414,-0.339524532247579,-0.07149100211610575,-0.042271491372782036,-0.26406035381374576,-0.3581205434810564,-0.3386880615693126,0.33376120258106406,-0.13072888799960564,-0.4746692915891914,1.685514082006616,0.5393496807112824,-0.20570299286799196,-0.32666851425899707,-0.35056837597441426,-0.5745493432308679,0.06976708681165646,-0.3188412913823686,0.22456302113810458,0.07437229686036415,-0.5273983450550978,True,False,False,True,False,False,True,False,True,False,False,False
1.2224182591628665,-0.042105336735891216,-0.5482033765277045,-0.4954620703887223,-0.36810344797623357,-0.4192379650272081,-0.4157072107706224,-0.23771399195294843,-0.4456945642208671,-0.29819479986085595,-0.37879484107037814,-0.5643594364825527,-0.04358828743816552,-0.29449486139633874,-0.3581205434810564,-1.383023858289806,0.5717136352035632,-0.1658542962381286,-1.4951027682547,1.5894309702087788,0.15045935428607674,-0.21162227566107228,-0.37634139635355285,-0.4157547374940362,-0.13660563847152105,-0.3875976962459705,-0.7603084118945752,-0.5709826527349151,-0.0708656542020983,-0.5273983450550978,True,False,True,False,False,False,True,False,False,True,False,False
-0.2854878690807845,-0.042105336735891216,-0.5482033765277045,-0.4954620703887223,-0.36810344797623357,-0.3397360018718276,-0.2967576296751622,-0.214401307703714,0.6047960679402726,-0.3011262698579221,-0.35253983460027816,-0.1403476216231829,-0.04258408373377679,-0.3000978669763977,-0.3581205434810564,-0.2672471799528609,-1.3078702265216298,0.15655997727757698,0.31522609769208687,-1.1992450709861167,-0.6453924103870674,-0.21261591545430192,-0.3776708076546871,-0.2527357216834447,0.22688220600372028,-0.8825025536930651,-0.43903909489615955,0.13403562868212104,-0.1550744966900797,-0.5273983450550978,True,False,False,True,False,False,True,False,False,True,False,False
1.1929846560590114,-0.042105336735891216,-0.5482033765277045,-0.4954620703887223,-0.36810344797623357,-0.4634131199837121,-0.5043362124168165,-0.20874556773792338,-0.44313046767222,-0.2986714616489968,-0.3612915034236448,0.19547939983238635,-0.04047892580198514,-0.29716902315045773,-0.3581205434810564,0.921269305120835,0.13186216884076085,-0.07767103450246832,-0.2568386426927273,-1.3348588848309564,0.9651050752548627,-0.2108460777772995,-0.36458254895434444,-0.11958580104848757,-0.5076230844440882,-0.4385574962320519,-0.5319401320460161,0.5305272807734287,-0.08493064322862841,-0.5273983450550978,True,False,False,True,False,False,True,False,True,False,False,False
-0.2854878690807845,-0.042105336735891216,-0.5482033765277045,2.0183179697598947,-0.36810344797623357,-0.2554338054760128,-0.448093151492366,0.05948824600548703,-0.4786333429611807,-0.29888175361435304,-0.3655551369529773,-0.5861036321163665,-0.0436097345984396,-0.3028993697664271,-0.3581205434810564,0.24323039232469376,0.3433754422829821,-0.12167023008546025,-1.234916804624492,-1.5453530349713056,0.0788977514680555,-0.21245183767989945,-0.3637649383389919,-0.6402034391913842,0.46335174659212663,-0.4630851348902693,-0.5816282791245608,-0.6156247163858752,-0.15953980407253565,-0.5273983450550978,False,True,False,True,False,False,True,False,False,True,False,False
-1.0417050565182913,-0.042105336735891216,1.8241405340002743,-0.4954620703887223,-0.36810344797623357,-0.500626640472539,-0.5041718698667706,-0.05907537596029402,-0.521388666718892,4.898722501059546,0.3938204347976069,0.2522559106540114,-0.039964849285304416,1.3232456588097734,-0.3581205434810564,-1.338860404199636,1.0115651015663636,-0.2094837506817677,0.9194160528789306,2.074318917989274,-1.3451058601632735,9.253170949367403,0.988645920267443,1.21327129596319,-1.2664905683855254,2.702908571827741,1.3814096917033105,0.5871493825899669,-0.18389602615865905,-0.5273983450550978,False,True,False,False,False,True,True,False,True,False,False,False
-0.2854878690807845,-0.042105336735891216,-0.5482033765277045,-0.4954620703887223,-0.36810344797623357,2.339733832977931,1.9740976085372377,-0.1641893723976706,-0.05851598537514478,-0.2909747757169579,-0.34513457636512174,-0.9944113056846485,-0.043775890515118536,-0.3085023753464861,-0.3581205434810564,-0.21009447465969955,0.19916184675419596,-0.125367641478989,-1.15934742781875,-1.4465563014828258,0.7337948439238852,-0.21271750036863954,-0.3356107138340969,-0.7423565359354671,1.9090123112441924,0.04059285315249747,-0.3683606007468672,-1.6832837102176124,-0.16847041883744757,-0.5273983450550978,True,False,False,True,False,False,False,True,False,False,True,False
-1.0417050565182913,-0.042105336735891216,1.8241405340002743,-0.4954620703887223,-0.36810344797623357,-0.24707378455794954,-0.2117126846786833,0.0223121015962049,0.5716028519270546,2.907958562353671,0.7537608653791487,-0.6682483711774411,-0.04367598249350844,3.815182390540992,-0.3581205434810564,-0.09449013895307777,0.5741171951290417,-0.15069490952466083,-0.039105061576138044,-0.682786878478319,0.9636593863090436,0.10898775910330202,1.2666894322497988,-0.4349409260286492,0.4824465190395064,2.4927123700572587,1.6597517567203661,-0.7983450398333182,-0.18389602615865905,-0.5273983450550978,False,True,False,False,False,True,True,False,False,True,False,False
-1.0417050565182913,-0.042105336735891216,1.8241405340002743,2.0183179697598947,-0.36810344797623357,-0.5025841449206866,-0.5031527490894305,0.19094971399081492,-0.4322626430698769,-0.2803480217342885,0.251774117741425,1.2222886380958176,-0.016969501916658723,0.25905662170630367,-0.3581205434810564,-0.08799551335158216,0.5044139572901282,-0.1370144873686045,1.077007703683319,0.9261305966209337,-0.130727145675642,-0.16635792689937556,0.5003974592583709,1.8859693518041187,-1.3522073596069406,0.32501592537338625,1.2360593391414323,1.3509165151424318,-0.18389602615865905,1.8960999960959848,False,True,False,False,False,True,True,False,True,False,False,False
1.172607546217881,-0.042105336735891216,-0.5482033765277045,-0.4954620703887223,-0.36810344797623357,-0.07264212045710679,1.5456425209417286,-0.020795672533296648,0.3987807721662751,-0.2939609216250167,-0.3482762010709457,-0.6779124581258027,-0.04368271451881669,-0.1693186230963853,1.1666319763706763,0.35493795267041817,0.17993336735035767,-0.11815768926160798,-0.9454079307939988,-0.4434783579643889,-1.204874032418868,-0.2123073993779326,-0.34139504932821474,-0.5843345986087028,0.7845799039156971,-0.08988590949464033,-0.39755423578613336,-0.8227416641660391,0.5108652088480113,-0.5273983450550978,True,False,False,True,False,False,True,False,False,False,True,False
